Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
FAILURE,7/10/2019 5:29,7/10/2019 6:14,Product 5,14,960
FAILURE,7/10/2019 3:45,7/10/2019 3:50,Product 2,16,960
FAILURE,7/10/2019 1:11,7/10/2019 1:15,Product 3,6,40
FAILURE,7/9/2019 21:26,7/9/2019 22:19,Product 1,120,19200
SUCCESS,7/9/2019 21:02,7/9/2019 22:09,Product 4,120,9600
FAILURE,7/9/2019 20:59,1/1/1970 0:00,Product 4,120,9600
FAILURE,7/9/2019 20:40,7/9/2019 21:55,Product 1 ,288,2400
CANCELLED,7/9/2019 17:59,7/9/2019 18:01,Product 2,16,960
FAILURE,7/9/2019 16:33,7/9/2019 16:36,Product 3,6,40
SUCCESS,7/9/2019 16:32,7/9/2019 17:07,Product 1 ,48,2400
SUCCESS,7/9/2019 13:10,7/9/2019 14:17,Product 3,6,40
SUCCESS,7/9/2019 13:09,7/9/2019 14:16,Product 3,6,40
SUCCESS,7/9/2019 13:08,7/9/2019 14:16,Product 3,6,40
FAILURE,7/9/2019 3:41,7/9/2019 3:45,Product 3,6,40
FAILURE,7/9/2019 3:41,7/9/2019 3:45,Product 3,6,40
SUCCESS,7/8/2019 22:23,7/8/2019 23:07,Product 5,14,960
FAILURE,7/8/2019 21:12,7/8/2019 21:15,Product 3,6,40
SUCCESS,7/8/2019 21:11,7/8/2019 21:47,Product 1 ,48,2400
SUCCESS,7/8/2019 19:33,7/8/2019 20:09,Product 1 ,48,2400
FAILURE,7/8/2019 17:23,7/8/2019 17:27,Product 1 ,48,2400
FAILURE,7/8/2019 11:05,7/8/2019 11:09,Product 3,6,40
SUCCESS,7/8/2019 11:05,7/8/2019 11:54,Product 5,14,960
FAILURE,7/8/2019 8:37,7/8/2019 8:41,Product 3,6,40
FAILURE,7/7/2019 14:04,7/7/2019 14:07,Product 3,6,40
FAILURE,7/7/2019 14:03,7/7/2019 14:07,Product 3,6,40
FAILURE,7/7/2019 14:03,7/7/2019 14:07,Product 3,6,40
FAILURE,7/7/2019 5:01,7/7/2019 5:05,Product 3,6,40
FAILURE,7/7/2019 5:01,7/7/2019 5:05,Product 3,6,40
FAILURE,7/7/2019 5:01,7/7/2019 5:05,Product 3,6,40
FAILURE,7/7/2019 5:01,7/7/2019 5:05,Product 3,6,40
FAILURE,7/6/2019 23:51,7/6/2019 23:55,Product 3,6,40
FAILURE,7/6/2019 23:51,7/6/2019 23:55,Product 3,6,40
SUCCESS,7/6/2019 23:34,7/6/2019 23:44,Product 1,72,9600
CANCELLED,7/6/2019 19:08,7/6/2019 19:30,Product 1,72,9600
SUCCESS,7/6/2019 19:00,7/6/2019 19:18,Product 1,144,14400
FAILURE,7/6/2019 17:11,7/6/2019 17:30,Product 1,144,14400
FAILURE,7/6/2019 7:43,7/6/2019 7:47,Product 3,6,40
CANCELLED,7/5/2019 20:19,7/5/2019 20:21,Product 3,6,40
SUCCESS,7/5/2019 15:09,7/5/2019 16:16,Product 3,6,40
CANCELLED,7/5/2019 15:06,7/5/2019 15:08,Product 3,6,40
FAILURE,7/5/2019 11:01,7/5/2019 11:46,Product 5,14,960
FAILURE,7/5/2019 7:31,7/5/2019 7:35,Product 3,6,40
FAILURE,7/5/2019 7:31,7/5/2019 7:35,Product 3,6,40
FAILURE,7/5/2019 7:31,7/5/2019 7:35,Product 3,6,40
CANCELLED,7/4/2019 15:09,7/4/2019 15:11,Product 2,16,960
CANCELLED,7/4/2019 14:17,7/4/2019 14:18,Product 2,16,960
FAILURE,7/4/2019 14:07,7/4/2019 14:10,Product 2,16,960
FAILURE,7/4/2019 8:33,7/4/2019 8:37,Product 3,6,40
FAILURE,7/4/2019 0:57,7/4/2019 1:01,Product 3,6,40
FAILURE,7/4/2019 0:57,7/4/2019 1:01,Product 3,6,40
SUCCESS,7/3/2019 20:39,7/3/2019 21:46,Product 3,6,40
FAILURE,7/3/2019 20:23,7/3/2019 20:28,Product 3,6,40
FAILURE,7/3/2019 1:01,7/3/2019 1:05,Product 3,6,40
SUCCESS,7/2/2019 22:17,7/2/2019 22:54,Product 2,16,960
FAILURE,7/2/2019 22:16,7/2/2019 22:19,Product 1,72,9600
SUCCESS,7/2/2019 22:14,7/2/2019 22:50,Product 2,16,960
FAILURE,7/2/2019 22:08,7/2/2019 22:11,Product 1,144,14400
FAILURE,7/2/2019 17:19,7/2/2019 17:23,Product 3,6,40
CANCELLED,7/2/2019 12:59,7/2/2019 13:03,Product 5,14,960
FAILURE,7/2/2019 12:19,7/2/2019 12:23,Product 3,6,40
FAILURE,7/1/2019 3:03,7/1/2019 3:06,Product 3,6,40
FAILURE,6/30/2019 21:45,6/30/2019 21:48,Product 3,6,40
FAILURE,6/30/2019 18:17,6/30/2019 18:21,Product 3,6,40
FAILURE,6/29/2019 4:51,6/29/2019 5:13,Product 3,6,40
FAILURE,6/29/2019 4:50,6/29/2019 5:12,Product 3,6,40
FAILURE,6/29/2019 4:50,6/29/2019 5:12,Product 3,6,40
SUCCESS,6/29/2019 2:14,6/29/2019 3:04,Product 4,48,2400
FAILURE,6/29/2019 1:49,6/29/2019 2:56,Product 3,6,40
FAILURE,6/29/2019 1:42,6/29/2019 1:57,Product 3,6,40
FAILURE,6/29/2019 1:37,6/29/2019 1:43,Product 3,6,40
FAILURE,6/29/2019 0:42,6/29/2019 1:02,Product 4,48,2400
FAILURE,6/28/2019 23:33,6/29/2019 0:17,Product 4,48,2400
FAILURE,6/28/2019 23:03,6/28/2019 23:26,Product 3,6,40
FAILURE,6/28/2019 23:02,6/28/2019 23:25,Product 3,6,40
FAILURE,6/28/2019 23:01,6/28/2019 23:14,Product 3,6,40
FAILURE,6/28/2019 22:46,6/28/2019 23:31,Product 4,48,2400
SUCCESS,6/28/2019 22:38,6/28/2019 23:50,Product 3,6,40
CANCELLED,6/28/2019 16:23,6/28/2019 16:41,Product 3,6,40
CANCELLED,6/28/2019 15:28,6/28/2019 16:23,Product 3,6,40
CANCELLED,6/28/2019 5:38,6/28/2019 15:15,Product 3,6,40
CANCELLED,6/28/2019 4:57,6/28/2019 5:38,Product 3,6,40
